project_name,category,file_path,file_name,keywords
찰리 프로젝트,기획서,test_environment\찰리_프로젝트,찰리 프로젝트 기획서_573.docx,"찰리 프로젝트, 로드맵, 기획"
킬로 보안,인사,test_environment\킬로_보안,킬로 보안 인사_957.pdf,"킬로 보안, 채용, 조직도"
파파 계약,개발,test_environment\개발,파파 계약 개발_840.js,"파파 계약, 소스, 코드"
폭스트롯 분석,보고서,test_environment,외부자료_폭스트롯_719.pdf,"폭스트롯 분석, 현황, 결과"
줄리엣 연구,개발,test_environment\개발,줄리엣 연구 개발_197.js,"줄리엣 연구, 라이브러리, API"
인디아 솔루션,계약서,test_environment\인디아_솔루션,정리필요_계약서_847.docx,"인디아 솔루션, NDA, 협약"
리마 마케팅,기획서,test_environment\리마_마케팅,리마 마케팅 기획서_815.pdf,"리마 마케팅, 제안, 전략"
인디아 솔루션,개발,test_environment,인디아 솔루션 개발_335.java,"인디아 솔루션, 라이브러리, API"
줄리엣 연구,디자인,test_environment\디자인,줄리엣 연구 디자인_165.sketch,"줄리엣 연구, UIUX, 스케치"
킬로 보안,재무,test_environment\킬로_보안,킬로 보안 재무_403.xlsx,"킬로 보안, 예산, 지출"
알파 프로젝트,회의록,test_environment\회의록,알파 프로젝트 회의록_392.md,"알파 프로젝트, 결정사항, 안건"
델타 기획,기획서,test_environment\델타_기획,Final_기획서_델타_기획_517.pdf,"델타 기획, 전략, 제안"
로미오 영업,디자인,test_environment\디자인,로미오 영업 디자인_122.ai,"로미오 영업, 스케치, UIUX"
탱고 고객지원,마케팅,test_environment\탱고_고객지원,탱고 고객지원 마케팅_767.jpg,"탱고 고객지원, 프로모션, 보도자료"
호텔 설계,재무,test_environment\호텔_설계,호텔 설계 재무_678.pdf,"호텔 설계, 예산, 세금계산서"
킬로 보안,기획서,test_environment,킬로 보안 기획서_592.docx,"킬로 보안, 기획, 제안"
골프 개발,마케팅,test_environment\마케팅,정리필요_마케팅_960.jpg,"골프 개발, 캠페인, 성과"
에코 시스템,재무,test_environment\에코_시스템,에코 시스템 재무_841.csv,"에코 시스템, 견적서, 세금계산서"
알파 프로젝트,보고서,test_environment\보고서,임시_문서_161.xlsx,"알파 프로젝트, 결과, 현황"
인디아 솔루션,재무,test_environment\인디아_솔루션,Copy of 재무_20240715_584.xlsx,"인디아 솔루션, 인보이스, 세금계산서"
델타 기획,회의록,test_environment,델타 기획 회의록_438.md,"델타 기획, 안건, 회의"
로미오 영업,회의록,test_environment\로미오_영업,로미오 영업 회의록_460.docx,"로미오 영업, 안건, 결정사항"
리마 마케팅,기획서,test_environment\리마_마케팅,리마 마케팅 기획서_215.pdf,"리마 마케팅, 기획, 아이디어"
탱고 고객지원,디자인,test_environment\탱고_고객지원,탱고 고객지원 디자인_861.psd,"탱고 고객지원, 프로토타입, UIUX"
폭스트롯 분석,디자인,test_environment\폭스트롯_분석,폭스트롯 분석 디자인_117.psd,"폭스트롯 분석, 프로토타입, 목업"
킬로 보안,기획서,test_environment\기획서,킬로 보안 기획서_543.docx,"킬로 보안, 로드맵, 기획"
로미오 영업,회의록,test_environment\회의록,로미오 영업 회의록_437.txt,"로미오 영업, 안건, 결정사항"
찰리 프로젝트,개발,test_environment\개발,Copy of 개발_20240901_682.zip,"찰리 프로젝트, 소스, 라이브러리"
줄리엣 연구,개발,test_environment,줄리엣 연구 개발_901.py,"줄리엣 연구, 라이브러리, API"
인디아 솔루션,인사,test_environment\인사,인사_인디아_솔루션_최종_748.docx,"인디아 솔루션, 채용, 조직도"
폭스트롯 분석,회의록,test_environment\폭스트롯_분석,외부자료_폭스트롯_186.md,"폭스트롯 분석, 참석자, 안건"
마이크 데이터,회의록,test_environment\마이크_데이터,마이크 데이터 회의록_491.md,"마이크 데이터, 결정사항, 참석자"
리마 마케팅,재무,test_environment\재무,리마 마케팅 재무_913.csv,"리마 마케팅, 지출, 견적서"
에코 시스템,계약서,test_environment\에코_시스템,에코 시스템 계약서_395.docx,"에코 시스템, 법률, 계약"
알파 프로젝트,마케팅,test_environment\알파_프로젝트,알파 프로젝트 마케팅_668.jpg,"알파 프로젝트, 광고, 보도자료"
에코 시스템,개발,test_environment,에코 시스템 개발_254.zip,"에코 시스템, 소스, API"
리마 마케팅,보고서,test_environment\보고서,임시_문서_942.pdf,"리마 마케팅, 결과, 분석"
노벰버 보고,계약서,test_environment,백업_20240608_계약서_591.pdf,"노벰버 보고, MOU, 법률"
리마 마케팅,보고서,test_environment\리마_마케팅,리마 마케팅 보고서_636.pdf,"리마 마케팅, 결과, 리포트"
찰리 프로젝트,디자인,test_environment,보고자료_20240117_961.sketch,"찰리 프로젝트, 목업, 시안"
노벰버 보고,인사,test_environment\노벰버_보고,노벰버 보고 인사_466.docx,"노벰버 보고, 이력서, 채용"
퀘벡 품질관리,재무,test_environment\퀘벡_품질관리,보고자료_20240803_416.pdf,"퀘벡 품질관리, 지출, 견적서"
로미오 영업,재무,test_environment\재무,로미오 영업 재무_769.pdf,"로미오 영업, 예산, 견적서"
줄리엣 연구,계약서,test_environment,줄리엣 연구 계약서_452.docx,"줄리엣 연구, 계약, 법률"
탱고 고객지원,인사,test_environment\인사,탱고 고객지원 인사_383.pdf,"탱고 고객지원, 채용, 평가"
줄리엣 연구,회의록,test_environment\회의록,줄리엣 연구 회의록_758.md,"줄리엣 연구, 안건, 논의"
브라보 프로젝트,인사,test_environment\인사,외부자료_브라보_987.docx,"브라보 프로젝트, 휴가, 조직도"
탱고 고객지원,재무,test_environment\탱고_고객지원,재무_탱고_고객지원_최종_200.xlsx,"탱고 고객지원, 지출, 예산"
킬로 보안,계약서,test_environment\계약서,킬로 보안 계약서_122.pdf,"킬로 보안, MOU, 계약"
에코 시스템,회의록,test_environment\에코_시스템,에코 시스템 회의록_582.txt,"에코 시스템, 회의, 논의"
인디아 솔루션,회의록,test_environment\인디아_솔루션,임시_파일_342.txt,"인디아 솔루션, 안건, 논의"
줄리엣 연구,인사,test_environment\줄리엣_연구,보고자료_20240217_210.xlsx,"줄리엣 연구, 채용, 조직도"
오스카 TF,인사,test_environment,임시_문서_581.docx,"오스카 TF, 이력서, 채용"
줄리엣 연구,마케팅,test_environment\줄리엣_연구,임시_자료_753.jpg,"줄리엣 연구, 보도자료, 캠페인"
알파 프로젝트,기획서,test_environment\알파_프로젝트,알파 프로젝트 기획서_317.pdf,"알파 프로젝트, 기획, 로드맵"
브라보 프로젝트,보고서,test_environment,브라보 프로젝트 보고서_231.pdf,"브라보 프로젝트, 리포트, 분석"
노벰버 보고,회의록,test_environment,노벰버 보고 회의록_453.docx,"노벰버 보고, 참석자, 안건"
오스카 TF,디자인,test_environment\디자인,오스카 TF 디자인_136.png,"오스카 TF, UIUX, 시안"
로미오 영업,인사,test_environment\로미오_영업,로미오 영업 인사_397.xlsx,"로미오 영업, 휴가, 조직도"
노벰버 보고,계약서,test_environment\노벰버_보고,노벰버 보고 계약서_705.hwp,"노벰버 보고, 법률, 협약"
노벰버 보고,기획서,test_environment\기획서,노벰버 보고 기획서_511.pdf,"노벰버 보고, 제안, 전략"
줄리엣 연구,개발,test_environment\개발,줄리엣 연구 개발_713.zip,"줄리엣 연구, 코드, 빌드"
폭스트롯 분석,디자인,test_environment\폭스트롯_분석,정리필요_디자인_631.psd,"폭스트롯 분석, 스케치, UIUX"
골프 개발,보고서,test_environment\골프_개발,골프 개발 보고서_464.pdf,"골프 개발, 리포트, 현황"
델타 기획,재무,test_environment,델타 기획 재무_707.pdf,"델타 기획, 견적서, 지출"
퀘벡 품질관리,마케팅,test_environment\마케팅,퀘벡 품질관리 마케팅_531.pdf,"퀘벡 품질관리, 캠페인, 보도자료"
호텔 설계,기획서,test_environment,호텔 설계 기획서_883.pdf,"호텔 설계, 제안, 아이디어"
오스카 TF,개발,test_environment\오스카_TF,오스카 TF 개발_319.java,"오스카 TF, 코드, 빌드"
마이크 데이터,계약서,test_environment\마이크_데이터,외부자료_마이크_780.hwp,"마이크 데이터, 계약, 협약"
호텔 설계,마케팅,test_environment\호텔_설계,마케팅_호텔_설계_최종_252.jpg,"호텔 설계, 광고, 프로모션"
오스카 TF,계약서,test_environment\오스카_TF,Copy of 계약서_20240510_756.pdf,"오스카 TF, 협약, MOU"
골프 개발,계약서,test_environment,골프 개발 계약서_514.docx,"골프 개발, 법률, 협약"
인디아 솔루션,계약서,test_environment\인디아_솔루션,인디아 솔루션 계약서_163.pdf,"인디아 솔루션, MOU, 계약"
시에라 재무,디자인,test_environment\시에라_재무,임시_파일_899.ai,"시에라 재무, 스케치, 프로토타입"
델타 기획,재무,test_environment\델타_기획,델타 기획 재무_862.csv,"델타 기획, 인보이스, 견적서"
골프 개발,개발,test_environment,정리필요_개발_100.java,"골프 개발, API, 라이브러리"
리마 마케팅,기획서,test_environment\기획서,리마 마케팅 기획서_184.pptx,"리마 마케팅, 기획, 전략"
브라보 프로젝트,디자인,test_environment\브라보_프로젝트,임시_파일_592.ai,"브라보 프로젝트, 시안, 스케치"
인디아 솔루션,기획서,test_environment\인디아_솔루션,인디아 솔루션 기획서_710.pptx,"인디아 솔루션, 로드맵, 전략"
찰리 프로젝트,디자인,test_environment\찰리_프로젝트,임시_자료_553.psd,"찰리 프로젝트, 목업, 시안"
호텔 설계,디자인,test_environment\디자인,호텔 설계 디자인_648.png,"호텔 설계, 스케치, UIUX"
폭스트롯 분석,재무,test_environment,폭스트롯 분석 재무_216.csv,"폭스트롯 분석, 견적서, 지출"
줄리엣 연구,기획서,test_environment,백업_20240825_기획서_961.pdf,"줄리엣 연구, 전략, 아이디어"
브라보 프로젝트,재무,test_environment\브라보_프로젝트,브라보 프로젝트 재무_596.pdf,"브라보 프로젝트, 예산, 인보이스"
오스카 TF,계약서,test_environment\오스카_TF,외부자료_오스카_148.docx,"오스카 TF, 협약, MOU"
에코 시스템,계약서,test_environment,정리필요_계약서_427.pdf,"에코 시스템, 계약, NDA"
폭스트롯 분석,개발,test_environment,폭스트롯 분석 개발_353.java,"폭스트롯 분석, 라이브러리, 빌드"
골프 개발,디자인,test_environment\골프_개발,골프 개발 디자인_776.psd,"골프 개발, 스케치, 목업"
퀘벡 품질관리,계약서,test_environment\계약서,Final_계약서_퀘벡_품질관리_982.docx,"퀘벡 품질관리, MOU, 협약"
골프 개발,재무,test_environment\재무,임시_파일_686.xlsx,"골프 개발, 지출, 인보이스"
호텔 설계,계약서,test_environment\호텔_설계,호텔 설계 계약서_386.pdf,"호텔 설계, MOU, NDA"
노벰버 보고,재무,test_environment\재무,정리필요_재무_367.pdf,"노벰버 보고, 지출, 세금계산서"
마이크 데이터,보고서,test_environment\보고서,보고서_마이크_데이터_최종_917.pdf,"마이크 데이터, 분석, 리포트"
알파 프로젝트,인사,test_environment\인사,알파 프로젝트 인사_268.docx,"알파 프로젝트, 이력서, 조직도"
에코 시스템,계약서,test_environment\계약서,에코 시스템 계약서_613.pdf,"에코 시스템, 협약, 법률"
인디아 솔루션,개발,test_environment\인디아_솔루션,인디아 솔루션 개발_666.java,"인디아 솔루션, 소스, API"
킬로 보안,보고서,test_environment\보고서,킬로 보안 보고서_664.docx,"킬로 보안, 실적, 리포트"
골프 개발,보고서,test_environment\골프_개발,백업_20241219_보고서_659.pdf,"골프 개발, 결과, 현황"
알파 프로젝트,회의록,test_environment\회의록,백업_20240720_회의록_770.docx,"알파 프로젝트, 논의, 결정사항"
줄리엣 연구,재무,test_environment\줄리엣_연구,줄리엣 연구 재무_136.xlsx,"줄리엣 연구, 지출, 세금계산서"
에코 시스템,회의록,test_environment\에코_시스템,에코 시스템 회의록_697.md,"에코 시스템, 결정사항, 안건"
골프 개발,회의록,test_environment\골프_개발,골프 개발 회의록_951.txt,"골프 개발, 참석자, 결정사항"
브라보 프로젝트,보고서,test_environment\브라보_프로젝트,보고서_브라보_프로젝트_최종_768.xlsx,"브라보 프로젝트, 실적, 분석"
킬로 보안,기획서,test_environment\킬로_보안,킬로 보안 기획서_857.pptx,"킬로 보안, 아이디어, 기획"
마이크 데이터,재무,test_environment\재무,재무_마이크_데이터_최종_950.xlsx,"마이크 데이터, 예산, 지출"
킬로 보안,회의록,test_environment\회의록,킬로 보안 회의록_205.txt,"킬로 보안, 참석자, 회의"
찰리 프로젝트,인사,test_environment,보고자료_20240323_302.pdf,"찰리 프로젝트, 조직도, 평가"
오스카 TF,개발,test_environment\오스카_TF,오스카 TF 개발_897.sql,"오스카 TF, 코드, API"
알파 프로젝트,재무,test_environment\알파_프로젝트,백업_20240207_재무_302.xlsx,"알파 프로젝트, 견적서, 인보이스"
파파 계약,기획서,test_environment\파파_계약,파파 계약 기획서_249.pptx,"파파 계약, 로드맵, 전략"
로미오 영업,기획서,test_environment\로미오_영업,로미오 영업 기획서_280.pdf,"로미오 영업, 아이디어, 제안"
마이크 데이터,디자인,test_environment\마이크_데이터,마이크 데이터 디자인_139.png,"마이크 데이터, 프로토타입, 목업"
로미오 영업,마케팅,test_environment\마케팅,로미오 영업 마케팅_487.pptx,"로미오 영업, 보도자료, 캠페인"
폭스트롯 분석,재무,test_environment\재무,Final_재무_폭스트롯_분석_723.pdf,"폭스트롯 분석, 예산, 견적서"
로미오 영업,인사,test_environment\로미오_영업,로미오 영업 인사_572.xlsx,"로미오 영업, 휴가, 조직도"
오스카 TF,인사,test_environment\인사,Final_인사_오스카_TF_852.pdf,"오스카 TF, 휴가, 이력서"
퀘벡 품질관리,기획서,test_environment\기획서,백업_20240528_기획서_927.docx,"퀘벡 품질관리, 로드맵, 전략"
에코 시스템,디자인,test_environment,에코 시스템 디자인_265.jpg,"에코 시스템, 스케치, 시안"
퀘벡 품질관리,계약서,test_environment\계약서,퀘벡 품질관리 계약서_641.docx,"퀘벡 품질관리, 법률, 협약"
리마 마케팅,개발,test_environment,리마 마케팅 개발_387.zip,"리마 마케팅, API, 소스"
탱고 고객지원,개발,test_environment\개발,탱고 고객지원 개발_921.sql,"탱고 고객지원, 코드, 빌드"
퀘벡 품질관리,개발,test_environment\개발,퀘벡 품질관리 개발_838.py,"퀘벡 품질관리, 라이브러리, 소스"
브라보 프로젝트,계약서,test_environment\브라보_프로젝트,브라보 프로젝트 계약서_379.hwp,"브라보 프로젝트, 계약, MOU"
퀘벡 품질관리,보고서,test_environment\보고서,퀘벡 품질관리 보고서_150.pdf,"퀘벡 품질관리, 리포트, 결과"
오스카 TF,디자인,test_environment\오스카_TF,보고자료_20240520_617.sketch,"오스카 TF, 프로토타입, 목업"
탱고 고객지원,회의록,test_environment\회의록,탱고 고객지원 회의록_183.md,"탱고 고객지원, 회의, 참석자"
오스카 TF,인사,test_environment,오스카 TF 인사_121.pdf,"오스카 TF, 조직도, 채용"
브라보 프로젝트,기획서,test_environment\기획서,기획서_브라보_프로젝트_최종_130.pptx,"브라보 프로젝트, 로드맵, 아이디어"
퀘벡 품질관리,재무,test_environment,보고자료_20240909_816.xlsx,"퀘벡 품질관리, 인보이스, 예산"
킬로 보안,디자인,test_environment\디자인,킬로 보안 디자인_718.ai,"킬로 보안, 시안, 목업"
탱고 고객지원,회의록,test_environment\탱고_고객지원,탱고 고객지원 회의록_504.txt,"탱고 고객지원, 논의, 안건"
찰리 프로젝트,마케팅,test_environment\마케팅,찰리 프로젝트 마케팅_474.pdf,"찰리 프로젝트, 광고, 캠페인"
호텔 설계,인사,test_environment\호텔_설계,호텔 설계 인사_966.pdf,"호텔 설계, 평가, 채용"
파파 계약,회의록,test_environment\회의록,임시_파일_673.txt,"파파 계약, 회의, 안건"
줄리엣 연구,마케팅,test_environment\마케팅,줄리엣 연구 마케팅_874.jpg,"줄리엣 연구, 캠페인, 광고"
오스카 TF,개발,test_environment\개발,오스카 TF 개발_496.java,"오스카 TF, 라이브러리, 빌드"
알파 프로젝트,디자인,test_environment\디자인,Copy of 디자인_20240624_674.psd,"알파 프로젝트, 프로토타입, UIUX"
폭스트롯 분석,인사,test_environment\폭스트롯_분석,Copy of 인사_20241213_582.docx,"폭스트롯 분석, 채용, 평가"
마이크 데이터,마케팅,test_environment\마이크_데이터,Copy of 마케팅_20241207_737.jpg,"마이크 데이터, 광고, 보도자료"
줄리엣 연구,기획서,test_environment,줄리엣 연구 기획서_587.pdf,"줄리엣 연구, 기획, 아이디어"
오스카 TF,인사,test_environment\오스카_TF,오스카 TF 인사_421.docx,"오스카 TF, 평가, 조직도"
로미오 영업,보고서,test_environment\보고서,로미오 영업 보고서_898.xlsx,"로미오 영업, 실적, 분석"
델타 기획,재무,test_environment\델타_기획,델타 기획 재무_561.csv,"델타 기획, 지출, 인보이스"
리마 마케팅,계약서,test_environment\리마_마케팅,리마 마케팅 계약서_888.docx,"리마 마케팅, 계약, 법률"
찰리 프로젝트,개발,test_environment,찰리 프로젝트 개발_665.sql,"찰리 프로젝트, 빌드, 라이브러리"
브라보 프로젝트,재무,test_environment\재무,브라보 프로젝트 재무_588.xlsx,"브라보 프로젝트, 인보이스, 예산"
킬로 보안,회의록,test_environment\킬로_보안,임시_문서_402.docx,"킬로 보안, 참석자, 논의"
킬로 보안,개발,test_environment\개발,킬로 보안 개발_935.zip,"킬로 보안, 소스, 빌드"
줄리엣 연구,디자인,test_environment\디자인,백업_20240619_디자인_559.sketch,"줄리엣 연구, 스케치, 목업"
로미오 영업,기획서,test_environment\로미오_영업,로미오 영업 기획서_397.docx,"로미오 영업, 제안, 로드맵"
델타 기획,계약서,test_environment\델타_기획,델타 기획 계약서_353.hwp,"델타 기획, 계약, 법률"
인디아 솔루션,계약서,test_environment\인디아_솔루션,인디아 솔루션 계약서_992.pdf,"인디아 솔루션, 법률, 계약"
로미오 영업,디자인,test_environment,로미오 영업 디자인_542.sketch,"로미오 영업, 프로토타입, 시안"
탱고 고객지원,보고서,test_environment,탱고 고객지원 보고서_147.docx,"탱고 고객지원, 현황, 분석"
브라보 프로젝트,재무,test_environment\재무,임시_파일_746.csv,"브라보 프로젝트, 견적서, 지출"
파파 계약,개발,test_environment\파파_계약,Copy of 개발_20240320_558.js,"파파 계약, 빌드, 소스"
로미오 영업,디자인,test_environment\로미오_영업,로미오 영업 디자인_295.jpg,"로미오 영업, 시안, 목업"
마이크 데이터,회의록,test_environment\마이크_데이터,임시_자료_606.docx,"마이크 데이터, 논의, 참석자"
노벰버 보고,기획서,test_environment\노벰버_보고,노벰버 보고 기획서_353.docx,"노벰버 보고, 기획, 로드맵"
찰리 프로젝트,계약서,test_environment,보고자료_20240214_452.docx,"찰리 프로젝트, 법률, 협약"
인디아 솔루션,보고서,test_environment,인디아 솔루션 보고서_880.xlsx,"인디아 솔루션, 리포트, 결과"
퀘벡 품질관리,디자인,test_environment\퀘벡_품질관리,퀘벡 품질관리 디자인_855.sketch,"퀘벡 품질관리, 프로토타입, UIUX"
노벰버 보고,디자인,test_environment,Copy of 디자인_20241004_918.ai,"노벰버 보고, 목업, UIUX"
델타 기획,기획서,test_environment\기획서,델타 기획 기획서_344.docx,"델타 기획, 아이디어, 전략"
킬로 보안,개발,test_environment\개발,Final_개발_킬로_보안_797.java,"킬로 보안, 빌드, 소스"
탱고 고객지원,개발,test_environment\탱고_고객지원,탱고 고객지원 개발_400.sql,"탱고 고객지원, 소스, API"
골프 개발,재무,test_environment\골프_개발,Final_재무_골프_개발_894.pdf,"골프 개발, 지출, 인보이스"
알파 프로젝트,회의록,test_environment\알파_프로젝트,알파 프로젝트 회의록_471.md,"알파 프로젝트, 논의, 안건"
폭스트롯 분석,개발,test_environment\폭스트롯_분석,폭스트롯 분석 개발_258.sql,"폭스트롯 분석, 라이브러리, 코드"
호텔 설계,회의록,test_environment,호텔 설계 회의록_785.md,"호텔 설계, 논의, 결정사항"
노벰버 보고,보고서,test_environment,노벰버 보고 보고서_613.xlsx,"노벰버 보고, 실적, 현황"
브라보 프로젝트,디자인,test_environment\디자인,브라보 프로젝트 디자인_375.png,"브라보 프로젝트, 시안, 목업"
줄리엣 연구,계약서,test_environment\계약서,줄리엣 연구 계약서_406.pdf,"줄리엣 연구, NDA, MOU"
퀘벡 품질관리,재무,test_environment\퀘벡_품질관리,퀘벡 품질관리 재무_295.csv,"퀘벡 품질관리, 인보이스, 지출"
호텔 설계,마케팅,test_environment\호텔_설계,마케팅_호텔_설계_최종_664.pdf,"호텔 설계, 성과, 광고"
퀘벡 품질관리,회의록,test_environment\회의록,외부자료_퀘벡_842.docx,"퀘벡 품질관리, 논의, 회의"
델타 기획,계약서,test_environment\계약서,임시_문서_206.pdf,"델타 기획, 협약, MOU"
퀘벡 품질관리,기획서,test_environment\기획서,퀘벡 품질관리 기획서_307.pptx,"퀘벡 품질관리, 전략, 로드맵"
찰리 프로젝트,계약서,test_environment\찰리_프로젝트,찰리 프로젝트 계약서_614.pdf,"찰리 프로젝트, NDA, 계약"
마이크 데이터,디자인,test_environment\디자인,마이크 데이터 디자인_157.png,"마이크 데이터, 시안, 목업"
리마 마케팅,계약서,test_environment,리마 마케팅 계약서_162.docx,"리마 마케팅, 협약, 법률"
에코 시스템,개발,test_environment\에코_시스템,Copy of 개발_20241120_875.js,"에코 시스템, API, 소스"
오스카 TF,기획서,test_environment\오스카_TF,오스카 TF 기획서_202.pdf,"오스카 TF, 전략, 기획"
에코 시스템,인사,test_environment\인사,에코 시스템 인사_545.docx,"에코 시스템, 채용, 평가"
찰리 프로젝트,계약서,test_environment\계약서,외부자료_찰리_471.pdf,"찰리 프로젝트, 법률, MOU"
오스카 TF,보고서,test_environment,임시_파일_398.docx,"오스카 TF, 결과, 실적"
파파 계약,재무,test_environment\파파_계약,정리필요_재무_769.pdf,"파파 계약, 인보이스, 견적서"
마이크 데이터,계약서,test_environment,마이크 데이터 계약서_402.pdf,"마이크 데이터, NDA, 협약"
로미오 영업,재무,test_environment\재무,로미오 영업 재무_850.pdf,"로미오 영업, 예산, 지출"
파파 계약,인사,test_environment\인사,파파 계약 인사_407.pdf,"파파 계약, 평가, 휴가"
알파 프로젝트,재무,test_environment\알파_프로젝트,알파 프로젝트 재무_255.xlsx,"알파 프로젝트, 인보이스, 세금계산서"
마이크 데이터,디자인,test_environment\마이크_데이터,마이크 데이터 디자인_901.sketch,"마이크 데이터, 시안, 스케치"
노벰버 보고,디자인,test_environment\디자인,디자인_노벰버_보고_최종_678.sketch,"노벰버 보고, 프로토타입, 스케치"
시에라 재무,인사,test_environment\인사,Final_인사_시에라_재무_308.pdf,"시에라 재무, 채용, 평가"
마이크 데이터,회의록,test_environment\회의록,마이크 데이터 회의록_902.txt,"마이크 데이터, 회의, 참석자"
호텔 설계,보고서,test_environment,호텔 설계 보고서_607.docx,"호텔 설계, 결과, 리포트"
탱고 고객지원,마케팅,test_environment,탱고 고객지원 마케팅_789.pptx,"탱고 고객지원, 보도자료, 성과"
줄리엣 연구,개발,test_environment\줄리엣_연구,Final_개발_줄리엣_연구_791.py,"줄리엣 연구, 빌드, API"
시에라 재무,인사,test_environment\인사,인사_시에라_재무_최종_404.xlsx,"시에라 재무, 평가, 채용"
파파 계약,계약서,test_environment\계약서,파파 계약 계약서_209.docx,"파파 계약, MOU, 협약"
킬로 보안,회의록,test_environment\킬로_보안,Final_회의록_킬로_보안_512.txt,"킬로 보안, 안건, 회의"
탱고 고객지원,디자인,test_environment\디자인,탱고 고객지원 디자인_275.ai,"탱고 고객지원, UIUX, 목업"
로미오 영업,보고서,test_environment,Copy of 보고서_20240503_925.xlsx,"로미오 영업, 현황, 분석"
줄리엣 연구,계약서,test_environment,보고자료_20240922_142.docx,"줄리엣 연구, MOU, NDA"
델타 기획,계약서,test_environment\델타_기획,보고자료_20240920_426.pdf,"델타 기획, MOU, 법률"
오스카 TF,개발,test_environment,오스카 TF 개발_575.py,"오스카 TF, 소스, 라이브러리"
알파 프로젝트,재무,test_environment\알파_프로젝트,알파 프로젝트 재무_682.xlsx,"알파 프로젝트, 세금계산서, 견적서"
인디아 솔루션,기획서,test_environment\인디아_솔루션,기획서_인디아_솔루션_최종_799.docx,"인디아 솔루션, 아이디어, 전략"
폭스트롯 분석,보고서,test_environment\보고서,폭스트롯 분석 보고서_368.xlsx,"폭스트롯 분석, 현황, 결과"
브라보 프로젝트,마케팅,test_environment,브라보 프로젝트 마케팅_479.jpg,"브라보 프로젝트, 광고, 성과"
호텔 설계,마케팅,test_environment\호텔_설계,호텔 설계 마케팅_389.jpg,"호텔 설계, 보도자료, 캠페인"
에코 시스템,재무,test_environment\에코_시스템,에코 시스템 재무_535.csv,"에코 시스템, 인보이스, 예산"
시에라 재무,재무,test_environment\시에라_재무,시에라 재무 재무_661.pdf,"시에라 재무, 견적서, 세금계산서"
탱고 고객지원,마케팅,test_environment\마케팅,Final_마케팅_탱고_고객지원_993.pptx,"탱고 고객지원, 프로모션, 캠페인"
호텔 설계,마케팅,test_environment\호텔_설계,마케팅_호텔_설계_최종_185.pdf,"호텔 설계, 성과, 보도자료"
인디아 솔루션,개발,test_environment\개발,보고자료_20241227_398.js,"인디아 솔루션, 코드, 빌드"
브라보 프로젝트,디자인,test_environment,정리필요_디자인_986.jpg,"브라보 프로젝트, 프로토타입, 목업"
시에라 재무,인사,test_environment\시에라_재무,시에라 재무 인사_806.xlsx,"시에라 재무, 이력서, 채용"
